epoch,train_loss,train_loss_cls,train_loss_reg,train_acc,train_prec,train_f1,train_yield_rmse,train_yield_mae,val_loss,val_loss_cls,val_loss_reg,val_acc,val_prec,val_f1,val_yield_rmse,val_yield_mae,lr,elapsed_s,gpu_mem_mb
50,1.558,0.91239,3.22809,97.685,97.573,96.932,9.0059,3.6389,1.53876,0.94051,2.99124,95.048,92.514,91.523,8.289,3.3934,3.16e-05,524.5,1474.0
51,1.55461,0.91146,3.21573,97.679,97.511,96.903,9.0447,3.6259,1.53604,0.93848,2.98784,95.25,92.43,91.223,8.2614,3.3907,2.98e-05,525.1,1474.0
52,1.55736,0.90986,3.2375,97.783,97.548,96.757,9.0683,3.6482,1.53454,0.93584,2.99349,95.298,92.249,91.077,8.3056,3.3958,2.80e-05,523.3,1474.0
53,1.55898,0.9096,3.24692,97.755,97.517,96.886,9.21,3.6572,1.53809,0.93576,3.01165,95.328,92.372,91.011,8.3073,3.4139,2.63e-05,525.9,1474.0
54,1.5543,0.90729,3.23502,97.824,97.748,97.023,9.0885,3.6456,1.53232,0.93411,2.99103,95.253,93.05,91.872,8.2825,3.3928,2.46e-05,525.9,1474.0
55,1.55031,0.90719,3.21557,97.818,97.587,97.009,8.9964,3.6255,1.53007,0.9389,2.95584,95.175,92.5,91.269,8.1804,3.3614,2.30e-05,526.8,1474.0
56,1.54206,0.9056,3.18232,97.816,97.645,97.267,8.9932,3.5921,1.5257,0.93532,2.95193,95.217,92.68,91.133,8.2588,3.3542,2.14e-05,523.9,1474.0
57,1.54752,0.90524,3.21144,97.859,97.726,97.308,9.0138,3.6218,1.5366,0.93745,2.99576,95.259,92.888,91.746,8.2859,3.3996,1.99e-05,524.5,1474.0
58,1.54567,0.90441,3.2063,97.928,97.816,97.515,9.0196,3.6165,1.53002,0.93595,2.97033,95.238,92.489,91.502,8.2108,3.3734,1.84e-05,524.3,1474.0
59,1.53989,0.90313,3.18381,97.927,97.85,97.33,8.9654,3.5937,1.53349,0.93713,2.98177,95.28,92.449,91.21,8.2676,3.3862,1.69e-05,527.0,1474.0
60,1.53331,0.90276,3.15276,97.967,97.808,97.343,8.8973,3.5622,1.53496,0.93693,2.99015,95.316,92.936,91.645,8.2971,3.3929,1.55e-05,525.4,1474.0
61,1.53692,0.90234,3.17293,97.975,97.828,97.482,8.9207,3.5832,1.53271,0.93521,2.98751,95.145,92.462,91.345,8.2974,3.3893,1.42e-05,522.9,1474.0
62,1.53909,0.9008,3.19145,97.96,97.858,97.572,9.0362,3.6015,1.53894,0.93594,3.01501,95.232,92.763,91.668,8.3524,3.4176,1.29e-05,522.7,1474.0
63,1.53933,0.90007,3.19629,98.043,97.97,97.707,9.0318,3.6063,1.53674,0.93973,2.98503,95.304,92.719,91.596,8.263,3.3887,1.16e-05,524.5,1474.0
64,1.54386,0.90012,3.2187,98.051,97.913,97.613,9.1571,3.6283,1.53126,0.938,2.96632,95.238,92.58,91.301,8.2538,3.3685,1.05e-05,522.9,1474.0
65,1.53508,0.8994,3.17842,98.016,97.847,97.457,8.96,3.5889,1.52933,0.93773,2.95797,95.28,92.877,91.469,8.2338,3.3605,9.34e-06,526.8,1474.0
66,1.53463,0.89864,3.17992,98.045,97.913,97.67,8.9739,3.5902,1.52839,0.93544,2.96477,95.346,92.684,91.777,8.2528,3.3672,8.29e-06,526.1,1474.0
67,1.53494,0.89857,3.18185,98.066,97.989,97.493,8.9663,3.592,1.52381,0.93783,2.92991,95.259,92.594,91.547,8.2067,3.3317,7.31e-06,525.9,1474.0
68,1.53428,0.8985,3.17887,98.076,97.996,97.573,8.9486,3.5889,1.53096,0.93924,2.95858,95.139,92.699,91.568,8.2514,3.3604,6.40e-06,525.1,1474.0
69,1.54009,0.89773,3.21176,98.072,98.0,97.67,9.1069,3.621,1.53187,0.93636,2.97754,95.262,92.739,91.6,8.2542,3.3803,5.55e-06,525.1,1474.0
70,1.53118,0.89735,3.16915,98.131,98.041,97.734,8.918,3.5788,1.53645,0.93956,2.98445,95.19,92.67,91.617,8.2821,3.3865,4.77e-06,521.8,1474.0
71,1.52961,0.89689,3.16359,98.134,98.139,97.833,8.9156,3.5735,1.52994,0.93695,2.96497,95.208,92.642,91.471,8.2297,3.3684,4.06e-06,525.4,1474.0
72,1.53311,0.8969,3.18104,98.119,98.134,97.795,9.0737,3.5906,1.53672,0.93881,2.98955,95.181,92.581,91.51,8.28,3.3917,3.42e-06,525.1,1474.0
73,1.53062,0.89655,3.17034,98.135,98.087,97.731,9.0173,3.5799,1.53186,0.93844,2.96713,95.196,92.634,91.519,8.2876,3.3684,2.86e-06,522.5,1474.0
74,1.52795,0.89635,3.15799,98.111,98.041,97.761,8.9794,3.5671,1.52915,0.93873,2.95207,95.247,92.584,91.562,8.2217,3.3557,2.37e-06,524.4,1474.0
75,1.52718,0.89609,3.15545,98.15,98.14,97.695,8.9329,3.5644,1.53111,0.93876,2.96177,95.217,92.509,91.61,8.2394,3.3641,1.95e-06,520.6,1474.0
76,1.53419,0.89571,3.1924,98.141,98.141,97.902,9.0601,3.6017,1.5347,0.93728,2.98708,95.172,92.471,91.436,8.2769,3.3908,1.61e-06,524.7,1474.0
77,1.52874,0.8955,3.1662,98.133,97.947,97.622,8.9496,3.5755,1.52953,0.93546,2.97036,95.235,92.526,91.574,8.2754,3.3736,1.34e-06,524.5,1474.0
78,1.52756,0.89551,3.1602,98.167,98.169,97.895,8.9523,3.5697,1.5326,0.93765,2.97477,95.271,92.696,91.649,8.2537,3.3772,1.15e-06,519.8,1474.0
79,1.53615,0.89516,3.20498,98.156,98.063,97.767,9.0885,3.6149,1.53812,0.9396,2.99261,95.193,92.683,91.486,8.2871,3.3957,1.04e-06,522.9,1474.0
80,1.53288,0.89557,3.18654,98.116,98.156,97.781,9.0287,3.5962,1.5345,0.93767,2.98412,95.274,92.772,91.734,8.2951,3.3867,1.00e-06,522.5,1474.0
